model,public_f1,threshold,accuracy,precision,recall,positive_predictions
fine_blend_logreg_0.775_tabicl_0.225,0.5638998682476943,0.4441978210947089,0.669,0.46153846153846156,0.7246049661399548,1391
fine_blend_logreg_0.774_tabicl_0.226,0.5638998682476943,0.4440760680103389,0.669,0.46153846153846156,0.7246049661399548,1391
fine_blend_logreg_0.773_tabicl_0.227,0.5638998682476943,0.4439543149259688,0.669,0.46153846153846156,0.7246049661399548,1391
fine_blend_logreg_0.772_tabicl_0.228,0.5638998682476943,0.443809873632607,0.669,0.46153846153846156,0.7246049661399548,1391
fine_blend_logreg_0.771_tabicl_0.229,0.5638998682476943,0.44362397449625124,0.669,0.46153846153846156,0.7246049661399548,1391
fine_blend_logreg_0.747_tabicl_0.253,0.5638998682476943,0.4386987344118073,0.669,0.46153846153846156,0.7246049661399548,1391
fine_blend_logreg_0.731_tabicl_0.269,0.5638998682476943,0.43618800904202193,0.669,0.46153846153846156,0.7246049661399548,1391
fine_blend_logreg_0.748_tabicl_0.252,0.5638998682476943,0.43892499818562786,0.669,0.46153846153846156,0.7246049661399548,1391
fine_blend_logreg_0.776_tabicl_0.224,0.5636523266022827,0.44431957417907897,0.6686666666666666,0.46120689655172414,0.7246049661399548,1392
fine_blend_logreg_0.727_tabicl_0.273,0.5636523266022827,0.43544441249659904,0.6686666666666666,0.46120689655172414,0.7246049661399548,1392
fine_blend_logreg_0.777_tabicl_0.223,0.5636523266022827,0.444441327263449,0.6686666666666666,0.46120689655172414,0.7246049661399548,1392
fine_blend_logreg_0.723_tabicl_0.277,0.5634050021939447,0.4347008159511761,0.6683333333333333,0.46087580760947594,0.7246049661399548,1393
fine_blend_logreg_0.722_tabicl_0.278,0.5634050021939447,0.4345149168148204,0.6683333333333333,0.46087580760947594,0.7246049661399548,1393
fine_blend_logreg_0.724_tabicl_0.276,0.5634050021939447,0.4348867150875318,0.6683333333333333,0.46087580760947594,0.7246049661399548,1393
fine_blend_logreg_0.714_tabicl_0.286,0.5634050021939447,0.43261089836697375,0.6683333333333333,0.46087580760947594,0.7246049661399548,1393
fine_blend_logreg_0.715_tabicl_0.285,0.5634050021939447,0.432859619616092,0.6683333333333333,0.46087580760947594,0.7246049661399548,1393
fine_blend_logreg_0.716_tabicl_0.284,0.5634050021939447,0.43310834086521033,0.6683333333333333,0.46087580760947594,0.7246049661399548,1393
fine_blend_logreg_0.718_tabicl_0.282,0.5634050021939447,0.43360578336344696,0.6683333333333333,0.46087580760947594,0.7246049661399548,1393
fine_blend_logreg_0.717_tabicl_0.283,0.5634050021939447,0.4333570621143287,0.6683333333333333,0.46087580760947594,0.7246049661399548,1393
fine_blend_logreg_0.726_tabicl_0.274,0.5634050021939447,0.4352585133602433,0.6683333333333333,0.46087580760947594,0.7246049661399548,1393
