model,public_f1,threshold,accuracy,precision,recall,positive_predictions
blend__logreg_c2_0.40__tabicl_n4_0.40__xgboost_0.10__lightgbm_0.10,0.5584970111016225,0.39499999999999996,0.6553333333333333,0.4491758241758242,0.7381489841986456,1456
blend__logreg_c2_0.70__tabicl_n4_0.10__xgboost_0.20__lightgbm_0.00,0.5584939489018378,0.4799999999999999,0.6716666666666666,0.46319702602230484,0.7031602708803611,1345
blend__logreg_c2_0.70__tabicl_n4_0.10__xgboost_0.20,0.5584939489018378,0.4799999999999999,0.6716666666666666,0.46319702602230484,0.7031602708803611,1345
blend__logreg_c2_0.30__tabicl_n4_0.50__xgboost_0.20__lightgbm_0.00,0.558458244111349,0.37999999999999995,0.6563333333333333,0.4499654934437543,0.7358916478555305,1449
blend__logreg_c2_0.30__tabicl_n4_0.50__xgboost_0.20,0.558458244111349,0.37999999999999995,0.6563333333333333,0.4499654934437543,0.7358916478555305,1449
blend__logreg_c2_0.80__tabicl_n4_0.00__xgboost_0.00__lightgbm_0.20,0.5583892617449664,0.49499999999999994,0.671,0.4625648628613788,0.7042889390519187,1349
blend__logreg_c2_0.80__xgboost_0.00__lightgbm_0.20,0.5583892617449664,0.49499999999999994,0.671,0.4625648628613788,0.7042889390519187,1349
blend__logreg_c2_0.80__lightgbm_0.20,0.5583892617449664,0.49499999999999994,0.671,0.4625648628613788,0.7042889390519187,1349
blend__logreg_c2_0.80__tabicl_n4_0.00__lightgbm_0.20,0.5583892617449664,0.49499999999999994,0.671,0.4625648628613788,0.7042889390519187,1349
blend__logreg_c2_0.70__tabicl_n4_0.20__lightgbm_0.10,0.5583800086169755,0.43499999999999994,0.6583333333333333,0.4515679442508711,0.7313769751693002,1435
blend__logreg_c2_0.70__tabicl_n4_0.20__xgboost_0.00__lightgbm_0.10,0.5583800086169755,0.43499999999999994,0.6583333333333333,0.4515679442508711,0.7313769751693002,1435
blend__logreg_c2_0.40__tabicl_n4_0.50__xgboost_0.10__lightgbm_0.00,0.5583190394511149,0.37999999999999995,0.6566666666666666,0.45020746887966806,0.7347629796839729,1446
blend__logreg_c2_0.40__tabicl_n4_0.50__xgboost_0.10,0.5583190394511149,0.37999999999999995,0.6566666666666666,0.45020746887966806,0.7347629796839729,1446
blend__logreg_c2_0.40__tabicl_n4_0.40__xgboost_0.20,0.5582978723404255,0.39499999999999996,0.654,0.44808743169398907,0.7404063205417607,1464
blend__logreg_c2_0.40__tabicl_n4_0.40__xgboost_0.20__lightgbm_0.00,0.5582978723404255,0.39499999999999996,0.654,0.44808743169398907,0.7404063205417607,1464
blend__logreg_c2_0.30__tabicl_n4_0.60__xgboost_0.10__lightgbm_0.00,0.5581196581196581,0.35999999999999993,0.6553333333333333,0.44910591471801925,0.7370203160270881,1454
blend__logreg_c2_0.30__tabicl_n4_0.60__xgboost_0.10,0.5581196581196581,0.35999999999999993,0.6553333333333333,0.44910591471801925,0.7370203160270881,1454
blend__logreg_c2_0.10__tabicl_n4_0.40__lightgbm_0.50,0.5580159433126661,0.4149999999999999,0.6673333333333333,0.45918367346938777,0.7110609480812641,1372
blend__logreg_c2_0.10__tabicl_n4_0.40__xgboost_0.00__lightgbm_0.50,0.5580159433126661,0.4149999999999999,0.6673333333333333,0.45918367346938777,0.7110609480812641,1372
blend__logreg_c2_0.60__tabicl_n4_0.20__xgboost_0.20,0.5579584775086506,0.43999999999999995,0.6593333333333333,0.4523141654978962,0.7279909706546276,1426
